participant_id	age	sex	group
sub-0001	n/a	female	n/a
sub-0002	58.0	female	n/a
sub-0003	33.0	female	n/a
sub-0004	33.0	female	n/a
sub-0005	n/a	female	n/a
sub-0006	46.0	female	n/a
sub-0007	60.0	female	n/a
sub-0008	n/a	female	n/a
sub-0009	n/a	female	n/a
sub-0010	n/a	female	n/a
sub-0011	41.0	female	n/a
sub-0012	41.0	female	n/a
sub-0013	41.0	female	n/a
sub-0014	54.0	female	n/a
sub-0015	31.0	female	n/a
sub-0016	n/a	female	n/a
sub-0017	n/a	male	n/a
sub-0018	57.0	female	n/a
sub-0019	18.0	female	n/a
sub-0020	40.0	male	n/a
sub-0021	n/a	male	n/a
sub-0022	n/a	female	n/a
sub-0023	55.0	female	n/a
sub-0024	28.0	female	n/a
sub-0025	49.0	female	n/a
sub-0026	n/a	female	n/a
sub-0027	18.0	female	n/a
sub-0028	n/a	female	n/a
sub-0029	76.0	female	n/a
sub-0030	56.0	male	n/a
sub-0031	59.0	male	n/a
sub-0032	60.0	female	n/a
sub-0033	61.0	female	n/a
sub-0034	40.0	female	n/a
sub-0035	34.0	male	n/a
sub-0036	36.0	female	n/a
sub-0037	46.0	female	n/a
sub-0038	59.0	female	n/a
sub-0039	22.0	male	n/a
sub-0040	54.0	female	n/a
sub-0041	n/a	female	n/a
sub-0042	29.0	female	n/a
sub-0043	56.0	female	n/a
sub-0044	47.0	female	n/a
sub-0045	n/a	female	n/a
sub-0046	11.0	female	n/a
sub-0047	60.0	female	n/a
sub-0048	40.0	female	n/a
sub-0049	55.0	female	n/a
sub-0050	52.0	female	n/a
sub-0051	61.0	female	n/a
sub-0052	52.0	female	n/a
sub-0053	n/a	female	n/a
sub-0054	33.0	female	n/a
sub-0055	27.0	male	n/a
sub-0056	79.0	female	n/a
sub-0057	n/a	female	n/a
sub-0058	18.0	female	n/a
sub-0059	63.0	female	n/a
sub-0060	45.0	female	n/a
sub-0061	n/a	male	n/a
sub-0062	78.0	female	n/a
sub-0063	8.0	female	n/a
sub-0064	49.0	female	n/a
sub-0065	79.0	female	n/a
sub-0066	48.0	male	n/a
sub-0067	30.0	female	n/a
sub-0068	47.0	female	n/a
sub-0069	50.0	male	n/a
sub-0070	n/a	female	n/a
sub-0071	76.0	male	n/a
sub-0072	17.0	male	n/a
sub-0073	19.0	female	n/a
sub-0074	n/a	female	n/a
sub-0075	n/a	male	n/a
sub-0076	70.0	female	n/a
sub-0077	45.0	male	n/a
sub-0078	n/a	male	n/a
sub-0079	n/a	female	n/a
sub-0080	n/a	female	n/a
sub-0081	n/a	female	n/a
sub-0082	n/a	female	n/a
sub-0083	35.0	male	n/a
sub-0084	n/a	female	n/a
sub-0085	71.0	female	n/a
sub-0086	n/a	female	n/a
sub-0087	63.0	male	n/a
